eventId; subEventName; tags; playerId; positions; matchId; eventName; teamId; matchPeriod; eventSec; subEventId; id 
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];25413;[{'y': 41, 'x': 88}, {'y': 0, 'x': 0}];2499719;Shot;1609;1H;94.59578800000003;100;177959212
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1207}, {'id': 1801}];14763;[{'y': 52, 'x': 96}, {'y': 100, 'x': 100}];2499719;Shot;1631;1H;254.745027;100;177959280
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}];12829;[{'y': 54, 'x': 94}, {'y': 100, 'x': 100}];2499719;Shot;1631;1H;1710.855093;100;177959759
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}];7945;[{'y': 50, 'x': 92}, {'y': 0, 'x': 0}];2499719;Shot;1609;1H;2815.900791;100;177960130
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1205}, {'id': 1801}];12829;[{'y': 54, 'x': 92}, {'y': 100, 'x': 100}];2499719;Shot;1631;2H;634.3122360000002;100;177960379
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1204}, {'id': 1801}];7870;[{'y': 63, 'x': 94}, {'y': 0, 'x': 0}];2499719;Shot;1609;2H;2231.119656;100;177960849
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1208}, {'id': 1801}];26010;[{'y': 44, 'x': 91}, {'y': 0, 'x': 0}];2499719;Shot;1609;2H;2374.6206549999997;100;177960902
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}];8325;[{'y': 55, 'x': 89}, {'y': 100, 'x': 100}];2499720;Shot;1625;2H;1455.3040650000003;100;178148575
7;Touch;[{'id': 102}];9097;[{'y': 50, 'x': 10}, {'y': 0, 'x': 0}];2499720;Others on the ball;1651;2H;1775.1100580000002;72;178148622
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];9127;[{'y': 52, 'x': 87}, {'y': 100, 'x': 100}];2499721;Shot;1646;1H;1394.0172;100;178122511
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1206}, {'id': 1801}];8433;[{'y': 24, 'x': 91}, {'y': 100, 'x': 100}];2499721;Shot;1646;1H;2318.473517;100;178122911
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1207}, {'id': 1801}];9127;[{'y': 46, 'x': 93}, {'y': 100, 'x': 100}];2499721;Shot;1646;1H;2531.371773;100;178122930
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1204}, {'id': 1801}];3324;[{'y': 49, 'x': 95}, {'y': 0, 'x': 0}];2499721;Shot;1610;2H;1384.0994870000004;100;178123328
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}];7892;[{'y': 42, 'x': 90}, {'y': 0, 'x': 0}];2499721;Shot;1610;2H;2540.9020039999996;100;178123586
7;Touch;[{'id': 102}];8221;[{'y': 49, 'x': 1}, {'y': 0, 'x': 0}];2499722;Others on the ball;1628;1H;1354.130605;72;178205435
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1208}, {'id': 1801}];214654;[{'y': 48, 'x': 93}, {'y': 100, 'x': 100}];2499722;Shot;1673;1H;1506.694938;100;178204317
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1206}, {'id': 1801}];214654;[{'y': 60, 'x': 85}, {'y': 100, 'x': 100}];2499722;Shot;1673;2H;1963.95352;100;178205146
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1203}, {'id': 1801}];7944;[{'y': 49, 'x': 94}, {'y': 0, 'x': 0}];2499723;Shot;1623;1H;2714.265932;100;178215655
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1205}, {'id': 1801}];7905;[{'y': 37, 'x': 92}, {'y': 0, 'x': 0}];2499724;Shot;1611;1H;1974.2909690000001;100;178494948
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1202}, {'id': 1801}];7905;[{'y': 52, 'x': 92}, {'y': 0, 'x': 0}];2499724;Shot;1611;2H;422.083928;100;178495325
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}];134513;[{'y': 42, 'x': 88}, {'y': 0, 'x': 0}];2499724;Shot;1611;2H;2513.380731;100;178495924
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}];7936;[{'y': 38, 'x': 71}, {'y': 0, 'x': 0}];2499724;Shot;1611;2H;2669.79998;100;178495956
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}];13484;[{'y': 48, 'x': 94}, {'y': 100, 'x': 100}];2499725;Shot;1624;2H;936.7531469999999;100;178443456
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}];136441;[{'y': 47, 'x': 88}, {'y': 100, 'x': 100}];2499725;Shot;1624;2H;1483.4190150000004;100;178443622
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1206}, {'id': 1801}];20505;[{'y': 56, 'x': 95}, {'y': 0, 'x': 0}];2499727;Shot;1644;1H;467.42972599999996;100;178082827
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1209}, {'id': 1801}];25747;[{'y': 32, 'x': 90}, {'y': 100, 'x': 100}];2499727;Shot;1612;1H;1698.524569;100;178083305
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1204}, {'id': 1801}];28292;[{'y': 53, 'x': 93}, {'y': 0, 'x': 0}];2499727;Shot;1644;1H;1860.806516;100;178083275
3;Penalty;[{'id': 101}, {'id': 402}, {'id': 1205}, {'id': 1801}];15808;[{'y': 51, 'x': 91}, {'y': 66, 'x': 89}];2499727;Free Kick;1612;2H;582.4097310000002;35;178083797
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1206}, {'id': 1801}];120353;[{'y': 57, 'x': 96}, {'y': 100, 'x': 100}];2499727;Shot;1612;2H;712.5214919999999;100;178083830
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1201}, {'id': 1801}];21160;[{'y': 52, 'x': 99}, {'y': 0, 'x': 0}];2499727;Shot;1644;2H;2879.3378359999997;100;178084506
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1205}, {'id': 1801}];119951;[{'y': 42, 'x': 98}, {'y': 0, 'x': 0}];2499728;Shot;1627;1H;1815.723328;100;178216921
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}];377071;[{'y': 59, 'x': 95}, {'y': 100, 'x': 100}];2499729;Shot;1644;2H;1635.5189790000004;100;180123368
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];25798;[{'y': 64, 'x': 72}, {'y': 100, 'x': 100}];2499729;Shot;1644;2H;2446.843693;100;180123482
